0,49663,50117,220
1,49170,50643,187
2,48757,51056,187
3,48208,51580,212
4,48027,51772,201
5,47450,52344,206
6,46766,53052,182
7,46154,53657,189
8,45990,53827,183
9,45221,54565,214
10,44890,54920,190
11,44219,55607,174
12,43779,56010,211
13,43418,56400,182
14,42716,57077,207
15,42525,57293,182
16,41920,57868,212
17,41370,58457,173
18,40686,59122,192
19,40656,59177,167
20,39961,59881,158
21,39658,60176,166
22,39109,60713,178
23,38734,61064,202
24,38128,61676,196
25,37788,62014,198
26,37332,62486,182
27,36802,63010,188
28,36638,63184,178
29,36112,63695,193
30,35697,64125,178
31,35112,64707,181
32,34482,65337,181
33,34220,65597,183
34,33962,65839,199
35,33444,66384,172
36,33209,66610,181
37,32654,67135,211
38,32350,67470,180
39,31839,67979,182
40,31330,68479,191
41,30932,68889,179
42,30748,69063,189
43,30507,69309,184
44,29970,69829,201
45,29695,70108,197
46,29203,70622,175
47,28805,71000,195
48,28493,71345,162
49,28324,71518,158
50,27805,71999,196
51,27468,72335,197
52,27166,72658,176
53,26771,73060,169
54,26366,73474,160
55,26141,73672,187
56,25979,73846,175
57,25632,74189,179
58,25115,74714,171
59,24874,74960,166
60,24705,75092,203
61,24281,75537,182
62,23986,75834,180
63,23867,75967,166
64,23509,76311,180
65,23212,76588,200
66,22773,77049,178
67,22497,77329,174
68,22143,77690,167
69,22004,77835,161
70,21599,78217,184
71,21201,78624,175
72,21046,78769,185
73,20791,79015,194
74,20686,79118,196
75,20438,79397,165
76,20124,79684,192
77,19871,79949,180
78,19581,80217,202
79,19409,80441,150
80,18987,80812,201
81,19031,80777,192
82,18643,81176,181
83,18102,81704,194
84,18182,81620,198
85,17961,81863,176
86,17750,82029,221
87,17401,82416,183
88,17232,82570,198
89,16941,82848,211
90,16643,83173,184
91,16584,83181,235
92,16345,83431,224
93,16258,83501,241
94,15955,83797,248
95,15908,83867,225
96,15574,84182,244
97,15492,84260,248
98,15234,84490,276
99,14823,84880,297
100,14631,85002,367
